Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Packets/s,Flow IAT Mean,Label
140.78042699305772,14,1,5990.657809080193,380.84122278452213,1120.4943511348592,43.29351908732839,412.86827989647276,236.97962313862226,0.10654890257393304,9.385361799537181,0
60.78342684967711,11,3,3401.1735169266676,561.0471116795301,792.8909794821467,165.62815382288218,510.12923070318857,129.03021765438518,0.1974222353352515,4.341673346405508,0
269.25141639292815,9,4,3058.4640489935427,1792.72901904286,358.64970529821244,119.22830561780323,623.3817368154783,153.49876200347734,0.03714000889565106,20.711647414840627,0
112.0639744972871,13,7,3888.18905427536,1213.355240419343,552.7537413060647,172.5980014643087,297.9982853957981,194.3290480743472,0.12492864065194223,5.603198724864355,0
234.7221249623238,9,3,4527.899570246356,1123.5072285878878,1202.6514506917295,51.84714427745446,374.11737151660424,262.89451489785426,0.04260356794914472,19.56017708019365,0
596.5588714974668,14,1,7251.602882580981,228.14336484354573,1028.824712761777,181.95403881221225,344.3255185226777,290.9035505966177,0.025144207414680438,39.770591433164455,0
374.73790329497984,16,4,4129.999266253755,1533.5973175486147,861.1418985141136,185.21063582817487,419.83753194897423,120.59353550227968,0.04536504007340359,18.736895164748994,0
422.624744261575,10,1,4915.402117702074,326.30008877277476,1244.7736999688489,69.85120942176573,514.5616324022061,416.23739886394674,0.02602781817524573,38.42043129650682,0
494.20448739106985,18,1,9492.7205162512,276.6437863339504,1318.9497582332465,41.112340884990516,101.72359286547947,341.46215326665197,0.03844562419961411,26.010762494266835,0
75.35020148274735,8,4,3185.1593563906877,664.4785209631286,591.1418027618006,85.57447910039483,515.3521523824501,248.08688633423841,0.11944228181076193,6.279183456895613,0
209.55588984889155,5,2,2169.9104820933217,598.8191760088683,514.6718529649505,147.54168758494058,383.69958410645836,392.77690270670985,0.02863197977554596,29.936555692698793,0
390.8246785476949,12,2,4207.881021356008,747.7060173347124,442.4740635198105,46.52402264876223,755.9907430517693,404.8307298762455,0.033262996718395624,27.91604846769249,0
5.018084267541186,13,3,4181.770719962891,822.7052361106378,1402.1017037621316,180.37429654095695,622.0275826054504,152.29628202792537,2.7899093067362677,0.3136302667213241,0
509.8452217917664,14,1,3583.9419732426827,395.2581804890912,653.9724469964592,156.1529086192383,592.6461268266718,446.0484956376132,0.029420693494557015,33.989681452784424,0
26.367517858825217,14,2,5844.76621678806,405.30321722252177,1099.4637570005011,144.3138015204161,610.1751597320068,185.46032856462955,0.5688817612758151,1.647969866176576,0
81.24712771584177,11,4,2893.1418376120737,953.0301601621572,517.1865363928086,195.6816887603913,631.8010322286343,271.24865901674286,0.14769752897566382,5.416475181056118,0
299.20031572094496,16,3,4686.57200310222,1015.7933796583645,1422.5961596587886,192.62857232041398,466.4805822011224,385.68005929105107,0.0568181218627302,15.747385037944472,0
4.673194611583315,19,6,8006.778113847387,1202.0453862182458,1417.0012064090154,151.36476746799568,367.42138456983,318.4470127134633,4.279727608695467,0.1869277844633326,0
286.3592146553153,13,4,5869.545847371258,1364.4115042919068,1327.1940141541347,186.11848840903542,577.2571529459071,762.3277788785665,0.04888964378831501,16.844659685606786,0
480.28497969254624,15,4,5271.954678256345,1226.1997246036233,805.2774235721982,126.82314155321225,602.939028556177,106.47409545724179,0.03331355481956229,25.278156825923485,0
9.292518630442364,11,4,4450.129023894195,991.4878887661386,902.8256580931385,141.98878423971306,196.22861200135895,322.37451777233133,1.291361414190541,0.619501242029491,0
475.69619391980586,10,1,3228.180922243245,432.90413844865236,425.2826160920995,65.02992682737377,547.6650548655678,106.5327231390572,0.023124002547420863,43.24510853816417,0
376.15478633303275,15,5,7900.366723779934,1216.9322137524878,218.71153521868263,58.5716224811066,566.5729142219343,392.9560864115204,0.04253568100509088,18.807739316651638,0
192.8353783238677,8,2,4505.929043145308,371.17737952629875,1025.621746127937,47.24864156352712,716.1909933599173,127.69654185846727,0.04667193374072919,19.28353783238677,0
209.83183578233692,17,1,6455.822206086363,304.8717285693728,961.5082556555022,190.4368386279932,215.39345262670133,453.6648914012957,0.08578297917896399,11.657324210129829,0
309.2481473534946,12,5,5137.190241282039,1250.9201920717626,292.5452429982977,91.0361008470018,411.59528645836826,401.9522516425229,0.04203743857886396,18.191067491382032,0
37.72503594873229,15,4,7120.940407684893,1395.3184849387087,1487.6566846008752,106.01882830582824,691.6497343682637,229.0114333397004,0.42412153090440363,1.9855282078280154,0
125.02010127922594,19,3,7623.078367239128,1123.424180153779,1274.3947059400641,91.20793616489789,464.1162803195367,402.4769653281427,0.15997427449951454,5.682731876328452,0
3.2690419845526435,18,5,5389.168713300537,1014.3245548849072,1074.27399290015,160.3799247100288,593.6179725578232,375.4014611117136,5.812100330855825,0.14213226019794103,0
28.69108396209583,13,4,5736.810890558311,1019.608143102728,1003.6834823111394,56.17962817964644,536.7449856663084,239.16681895546444,0.48795646823576216,1.6877108212997547,0
22.663826857739142,7,7,1374.0468455195028,2979.2180771038966,1378.2607006231567,57.79159716898421,454.65136368855383,299.4524605211644,0.3529854004893351,1.618844775552796,0
189.70631087487786,6,3,2334.7439109258858,996.410813303746,571.425712166419,178.97586051031365,533.6138722715625,301.5110880938154,0.036899141455641396,21.07847898609754,0
22.99841278633648,13,5,5055.788483681637,1890.5236505924408,1006.1723771419978,84.38098927698123,476.3414062618845,137.39304533784812,0.6087376607275046,1.2776895992409156,0
130.78606038502002,14,7,3751.673510171101,3125.616908878438,1412.5470283602172,178.57022232006534,676.916018108193,243.6989217474354,0.11469112194251911,6.227907637381906,0
1309.2826404660502,9,6,3604.719329746365,1822.5506850070763,1199.6836397346638,191.1625167811885,432.4901792781135,374.74199188169985,0.007637770249852557,87.28550936440335,0
